,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,hei_code
104,Education,Education - Gaeilge,CK124,463.0,,462.0,,452.0,*,495.0,8,University College Cork (NUI),,,,,,,,,,,,CK
105,Education,Sports Studies and Physical Education,CK125,510.0,*,509.0,*,509.0,*,532.0,8,University College Cork (NUI),,,,,,,,,,,,CK
106,Business and administration,Commerce,CK201,477.0,*,,,477.0,*,509.0,8,University College Cork (NUI),,,,,,,,,,,,CK
107,Business and administration,Accounting,CK202,509.0,,,,509.0,,542.0,8,University College Cork (NUI),,,,,,,,,,,,CK
108,Information and Communication Technologies (ICTs),Business Information Systems,CK203,430.0,,,,430.0,,467.0,8,University College Cork (NUI),,,,,,,,,,,,CK
109,Business and administration,Finance,CK204,556.0,,,,556.0,,590.0,8,University College Cork (NUI),,,,,,,,,,,,CK
110,Business and administration,Commerce (International) with French,CK205,445.0,,,,445.0,,495.0,8,University College Cork (NUI),,,,,,,,,,,,CK
111,Business and administration,Commerce (International) with German,CK206,420.0,,418.0,,418.0,,476.0,8,University College Cork (NUI),,,,,,,,,,,,CK
112,Business and administration,Commerce (International) with Italian,CK207,388.0,,,,388.0,,455.0,8,University College Cork (NUI),,,,,,,,,,,,CK
113,Business and administration,Commerce (International) with Hispanic Studies,CK208,402.0,,,,402.0,,484.0,8,University College Cork (NUI),,,,,,,,,,,,CK
114,Business and administration,Commerce (International) with Irish,CK209,484.0,,,,484.0,,531.0,8,University College Cork (NUI),,,,,,,,,,,,CK
115,Business and administration,Commerce (International) with Chinese Studies,CK211,397.0,,,,397.0,,433.0,8,University College Cork (NUI),,,,,,,,,,,,CK
116,Social and behavioural sciences,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,CK212,444.0,,,,444.0,,473.0,8,University College Cork (NUI),,,,,,,,,,,,CK
117,Business and administration,Food Marketing and Entrepreneurship,CK213,462.0,,,,462.0,,476.0,8,University College Cork (NUI),,,,,,,,,,,,CK
118,Social and behavioural sciences,International Development,CK214,346.0,,,,346.0,,422.0,8,University College Cork (NUI),,,,,,,,,,,,CK
119,Law,Law (Pathways) -  3 or 4 years,CK301,507.0,,499.0,,498.0,*,531.0,8,University College Cork (NUI),,,,,,,,,,,,CK
120,Law,Law and French,CK302,542.0,,,,542.0,,576.0,8,University College Cork (NUI),,,,,,,,,,,,CK
121,Law,Law and Irish,CK304,540.0,,,,540.0,,565.0,8,University College Cork (NUI),,,,,,,,,,,,CK
122,Law,Law and Business,CK307,556.0,,,,556.0,,589.0,8,University College Cork (NUI),,,,,,,,,,,,CK
123,Information and Communication Technologies (ICTs),Computer Science,CK401,468.0,,,,468.0,,509.0,8,University College Cork (NUI),,,,,,,,,,,,CK
124,Biological and related sciences,Biological and Chemical Sciences,CK402,510.0,*,509.0,*,509.0,,532.0,8,University College Cork (NUI),,,,,,,,,,,,CK
125,Biological and related sciences,"Biological, Earth and Environmental Sciences",CK404,467.0,,,,465.0,,498.0,8,University College Cork (NUI),,,,,,,,,,,,CK
126,Biological and related sciences,Genetics,CK405,487.0,,,,487.0,,498.0,8,University College Cork (NUI),,,,,,,,,,,,CK
127,Physical sciences,Chemical Sciences,CK406,485.0,,472.0,,462.0,,494.0,8,University College Cork (NUI),,,,,,,,,,,,CK
128,Mathematics and statistics,Mathematical Sciences,CK407,566.0,,565.0,*,565.0,,601.0,8,University College Cork (NUI),,,,,,,,,,,,CK
129,Physical sciences,Physics and Astrophysics,CK408,554.0,,542.0,,531.0,*,589.0,8,University College Cork (NUI),,,,,,,,,,,,CK
130,Physical sciences,Industrial Physics - Offered jointly by UCC and CIT,CK409,432.0,,,,432.0,,499.0,8,University College Cork (NUI),,,,,,,,,,,,CK
131,Information and Communication Technologies (ICTs),Data Science and Analytics,CK411,510.0,,,,509.0,,554.0,8,University College Cork (NUI),,,,,,,,,,,,CK
132,Agriculture,Agricultural Science,CK412,496.0,*,496.0,*,489.0,*,510.0,8,University College Cork (NUI),,,,,,,,,,,,CK
133,Biological and related sciences,Nutritional Sciences,CK504,518.0,,,,517.0,*,554.0,8,University College Cork (NUI),,,,,,,,,,,,CK
134,Manufacturing and processing,Food Science,CK505,441.0,,440.0,*,420.0,,465.0,8,University College Cork (NUI),,,,,,,,,,,,CK
135,Engineering and engineering trades,Engineering,CK600,487.0,,,,487.0,,532.0,8,University College Cork (NUI),,,,,,,,,,,,CK
136,Architecture and construction,Architecture - Offered jointly by UCC and CIT,CK606,484.0,,476.0,,469.0,,510.0,8,University College Cork (NUI),,,,,,,,,,,,CK
137,Health,Medicine (Undergraduate Entry - HPAT required),CK701,731.0,,,,731.0,,739.0,8,University College Cork (NUI),#,,,,,,,,,,,CK
138,Health,Dentistry,CK702,613.0,*,613.0,*,613.0,*,613.0,8,University College Cork (NUI),,,,,,,,,,,,CK
139,Health,Pharmacy,CK703,590.0,,589.0,*,589.0,*,602.0,8,University College Cork (NUI),,,,,,,,,,,,CK
140,Health,Occupational Therapy,CK704,566.0,,555.0,*,555.0,*,577.0,8,University College Cork (NUI),,,,,,,,,,,,CK
141,Health,Speech and Language Therapy,CK705,520.0,,,,520.0,,541.0,8,University College Cork (NUI),,,,,,,,,,,,CK
142,Health,Public Health Sciences,CK706,454.0,,,,454.0,,477.0,8,University College Cork (NUI),,,,,,,,,,,,CK
143,Health,Medical and Health Sciences,CK707,542.0,,541.0,,541.0,,555.0,8,University College Cork (NUI),,,,,,,,,,,,CK
144,Health,General Nursing,CK710,454.0,*,,,454.0,*,477.0,8,University College Cork (NUI),,,,,,,,,,,,CK
145,Health,Children`s and General Nursing (Integrated),CK712,533.0,,,,533.0,,553.0,8,University College Cork (NUI),,,,,,,,,,,,CK
146,Health,Mental Health Nursing,CK720,423.0,,,,419.0,,440.0,8,University College Cork (NUI),,,,,,,,,,,,CK
147,Health,Intellectual Disability Nursing,CK730,419.0,,411.0,,400.0,,433.0,8,University College Cork (NUI),,,,,,,,,,,,CK
148,Health,Midwifery,CK740,484.0,,,,473.0,*,507.0,8,University College Cork (NUI),,,,,,,,,,,,CK
149,Health,Medicine  - Graduate Entry (GAMSAT required),CK791,57.0,*,,,57.0,*,58.0,8,University College Cork (NUI),#,,,,,,,,,,,CK
150,Education,Education - Primary Teaching,CM001,484.0,*,,,484.0,*,487.0,8,Marino Institute of Education,,,,,,,,,,,,CM
151,Education,Education - Primary Teaching - Gaeltacht Applicants,CM002,,,,,,,,8,Marino Institute of Education,#,,,,,,,,,,,CM
152,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM003,528.0,,,,528.0,,570.0,8,Marino Institute of Education,#,,,,,,,,,,,CM
153,Education,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,CM004,494.0,,,,494.0,,513.0,8,Marino Institute of Education,#,,,,,,,,,,,CM
154,Education,Education Studies,CM010,319.0,,,,317.0,,407.0,8,Marino Institute of Education,,avp,,,,,,,,,,CM
155,Education,Early Childhood Education,CM020,327.0,,,,327.0,,390.0,8,Marino Institute of Education,,,,,,,,,,,,CM
156,Physical sciences,Applied Physics and Instrumentation,CR001,250.0,,,,250.0,,487.0,7,Cork Institute of Technology,,,,,,,,,,,,CR
