,Course Code,Course,EOS,Mid,Level,hei_code
241,DC197,Biomedical Engineering,402.0,446.0,8,DC
242,DC200,Common Entry into Engineering (Undenominated Entry),381.0,444.0,8,DC
243,DC201,Common Entry into Science (Undenominated Entry),454.0,477.0,8,DC
244,DC202,Sport Science and Health,467.0,476.0,8,DC
245,DC203,Science Education,424.0,476.0,8,DC
246,DC204,Athletic Therapy and Training,484.0,500.0,8,DC
247,DC205,Physical Education with Biology,490.0,521.0,8,DC
248,DC206,Physical Education with Mathematics,443.0,476.0,8,DC
249,DC208,Psychology,509.0,521.0,8,DC
250,DC209,Health and Society,419.0,440.0,8,DC
251,DC215,General Nursing,414.0,443.0,8,DC
252,DC216,Mental Health Nursing,368.0,389.0,8,DC
253,DC217,Intellectual Disability Nursing,347.0,362.0,8,DC
254,DC218,Children`s and General Nursing (Integrated),467.0,480.0,8,DC
255,DC230,"Economics, Politics and Law",400.0,431.0,8,DC
256,DC231,International Relations,387.0,445.0,8,DC
257,DC232,Law and Society (BCL),453.0,487.0,8,DC
258,DC235,Education and Training - Daytime Delivery Mode (full-time),307.0,327.0,8,DC
259,DC238,Social Sciences and Cultural Innovation,358.0,388.0,8,DC
260,DC240,"Marketing, Innovation and Technology",451.0,474.0,8,DC
261,DC291,Arts (Joint Honours) - Media Studies,349.0,392.0,8,DC
262,DC292,Arts (Joint Honours) - Law,356.0,388.0,8,DC
263,DC293,Arts (Joint Honours) - International Languages,369.0,400.0,8,DC
264,DC295,Arts (Joint Honours) - Politics,348.0,387.0,8,DC
265,DT001,Product Design,433.0,464.0,8,DT
266,DT028,Transport Operations and Technology,279.0,348.0,8,DT
267,DT035,Electrical Services and Energy Management,293.0,340.0,8,DT
268,DT066,Engineering (General Entry),400.0,457.0,8,DT
269,DT101,Architecture (test and interview),618.0,647.0,8,DT
270,DT106,Planning and Environmental Management,312.0,337.0,8,DT
271,DT110,Property Economics (Valuation Surveying),367.0,424.0,8,DT
272,DT111,Quantity Surveying and Construction Economics,391.0,421.0,8,DT
273,DT112,Geographic Science,287.0,335.0,8,DT
274,DT117,Construction Management,356.0,373.0,8,DT
275,DT175,Architectural Technology,388.0,425.0,8,DT
276,DT201,Science (General Entry),464.0,477.0,8,DT
277,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341.0,403.0,8,DT
278,DT204,Biomedical Science,501.0,512.0,8,DT
279,DT205,Mathematical Sciences,315.0,363.0,8,DT
280,DT206,Biomedical and Molecular Diagnostics,473.0,487.0,8,DT
281,DT211,Computer Science (Infrastructure),381.0,414.0,8,DT
282,DT220,Industrial Mathematics,300.0,317.0,8,DT
283,DT221,Physics with Energy and Environment,348.0,436.0,8,DT
284,DT222,Physics Technology,321.0,371.0,8,DT
285,DT223,Human Nutrition and Dietetics,553.0,566.0,8,DT
286,DT224,Optometry,487.0,529.0,8,DT
287,DT225,Public Health Nutrition,440.0,476.0,8,DT
288,DT227,Science with Nanotechnology,312.0,361.0,8,DT
289,DT228,Computer Science,451.0,466.0,8,DT
290,DT229,Clinical Measurement Science,491.0,509.0,8,DT
291,DT235,Physics with Medical Physics and Bioengineering,357.0,403.0,8,DT
292,DT282,Computer Science (International),377.0,402.0,8,DT
293,DT299,Chemical Sciences with Medicinal Chemistry,420.0,445.0,8,DT
294,DT302,Business Analytics,325.0,403.0,8,DT
295,DT304,E-Commerce in Retailing,341.0,388.0,8,DT
296,DT321,Business and Law,462.0,478.0,8,DT
297,DT341,Marketing,400.0,419.0,8,DT
298,DT343,Retail and Services Management,301.0,332.0,8,DT
299,DT354,Business Computing,322.0,341.0,8,DT
300,DT358,Logistics and Supply Chain Management,300.0,359.0,8,DT
301,DT365,Business and Management,440.0,456.0,8,DT
302,DT366,Accounting and Finance,432.0,454.0,8,DT
303,DT398,Human Resource Management,375.0,388.0,8,DT
304,DT399,Economics and Finance,437.0,465.0,8,DT
305,DT401,International Hospitality Management,300.0,337.0,8,DT
306,DT405,Culinary Science,308.0,377.0,8,DT
307,DT407,Culinary Arts,271.0,342.0,8,DT
308,DT412,Tourism Marketing,284.0,322.0,8,DT
309,DT413,Event Management,356.0,389.0,8,DT
310,DT416,Culinary Entrepreneurship,275.0,339.0,8,DT
311,DT420,Nutraceuticals in Health and Nutrition,392.0,432.0,8,DT
312,DT421,Food Innovation,321.0,366.0,8,DT
313,DT422,Pharmaceutical Healthcare,397.0,423.0,8,DT
314,DT491,Environmental Health,343.0,380.0,8,DT
315,DT501,Music,383.0,520.0,8,DT
316,DT504,Film and Broadcasting,443.0,467.0,8,DT
317,DT506,Commercial Modern Music,468.0,835.0,8,DT
318,DT508,Game Design,403.0,454.0,8,DT
319,DT517,Languages and English Studies,326.0,419.0,8,DT
320,DT518,Languages and International Tourism,307.0,357.0,8,DT
321,DT529,Drama (Performance),371.0,519.0,8,DT
322,DT532,Law (LL.B.),422.0,441.0,8,DT
323,DT533,Contemporary Visual Culture,,,8,DT
324,DT544,Interior Design,552.0,866.0,8,DT
325,DT545,Design - Visual Communication,667.0,897.0,8,DT
