,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
175,Information and Communication Technologies (ICTs),IT Management,CR310,,,,,,,,8,Cork Institute of Technology,,,
176,Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,CR320,,*,,,,*,,8,Cork Institute of Technology,,,
177,Biological and related sciences,Pharmaceutical Biotechnology,CR325,,,,,,,,8,Cork Institute of Technology,,,
178,Health,Nutrition and Health Science,CR333,,,,,,,,8,Cork Institute of Technology,,,
179,Biological and related sciences,Biological Sciences (Common Entry),CR335,,,,,,,,8,Cork Institute of Technology,,,
180,Physical sciences,Analytical Chemistry with Quality Assurance,CR340,,,,,,,,8,Cork Institute of Technology,,,
181,Physical sciences,Instrument Engineering,CR360,,,,,,,,8,Cork Institute of Technology,,,
182,Environment,Environmental Science and Sustainable Technology,CR365,,,,,,,,8,Cork Institute of Technology,,,
183,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,CR370,,,,,,,,8,Cork Institute of Technology,,,
184,Business and administration,Accounting,CR400,,,,,,,,8,Cork Institute of Technology,,,
185,Business and administration,Marketing,CR420,,,,,,,,8,Cork Institute of Technology,,,
186,Business and administration,International Business with Language,CR425,,,,,,,,8,Cork Institute of Technology,,,
187,Personal services,Sport and Exercise Management,CR430,,,,,,,,8,Cork Institute of Technology,,,
188,Education,Montessori Education,CR440,,,,,,,,8,Cork Institute of Technology,,,
189,Engineering and engineering trades,Engineering (Common Entry),CR500,,,,,,,,8,Cork Institute of Technology,,,
190,Environment,Sustainable Energy Engineering,CR510,,,,,,,,8,Cork Institute of Technology,,,
191,Health,Biomedical Engineering,CR520,,,,,,,,8,Cork Institute of Technology,,,
192,Architecture and construction,Architectural Technology,CR560,,,,,,,,8,Cork Institute of Technology,,,
193,Architecture and construction,Interior Architecture,CR565,,,,,,,,8,Cork Institute of Technology,,,
194,Architecture and construction,Quantity Surveying,CR570,,,,,,,,8,Cork Institute of Technology,,,
195,Architecture and construction,Construction Management,CR572,,,,,,,,8,Cork Institute of Technology,,,
196,Engineering and engineering trades,Electrical Engineering,CR580,,,,,,,,8,Cork Institute of Technology,,,
197,Engineering and engineering trades,Electronic Engineering,CR590,,,,,,,,8,Cork Institute of Technology,,,
198,Arts,Visual Communications at CIT Crawford College of Art and Design,CR600,,,,,,,,8,Cork Institute of Technology,#,,
199,Welfare,Early Childhood Education and Care,CR620,,,,,,,,7,Cork Institute of Technology,,,
200,Personal services,Culinary Arts,CR640,,,,,,,,7,Cork Institute of Technology,,avp,
201,Personal services,Beverage Industry Management,CR650,,,,,,,,7,Cork Institute of Technology,,avp,
202,Personal services,Culinary Studies,CR655,,,,,,,,6,Cork Institute of Technology,,avp,
203,Personal services,Hospitality Studies,CR657,,,,,,,,6,Cork Institute of Technology,,,
204,Personal services,Tourism Management,CR660,,,,,,,,8,Cork Institute of Technology,,,
205,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,,,,,,,,8,Cork Institute of Technology,#,avp,
206,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,,,,,,,,7,Cork Institute of Technology,,,
207,Information and Communication Technologies (ICTs),Information Technology,CR888,,,,,,,,7,Cork Institute of Technology,,,
208,Education,Home Economics and Business,CR930,,*,,,,*,,8,Cork Institute of Technology,,,
209,Arts,Arts - 3 years,CK101,,,,,,,,8,University College Cork (NUI),,,
