,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v
1137,Welfare,Social Care Work,LC292,,,,,,,,8,Limerick Institute of Technology,,,
1138,Personal services,Business Studies with Travel and Tourism Management,LC293,,,,,,,,8,Limerick Institute of Technology,,,
1139,Personal services,Business Studies with Event Management,LC294,,,,,,,,8,Limerick Institute of Technology,,,
1140,Business and administration,Business Studies with Sports Management,LC295,,,,,,,,8,Limerick Institute of Technology,,,
1141,Social and behavioural sciences,Community and Addiction Studies,LC297,,,,,,,,8,Limerick Institute of Technology,,,
1142,Business and administration,Business,LC320,,,,,,,,8,Limerick Institute of Technology,,,
1143,Business and administration,Enterprise and Innovation,LC322,,,,,,,,7,Limerick Institute of Technology,,,
1144,Information and Communication Technologies (ICTs),Business with Computing,LC330,,,,,,,,8,Limerick Institute of Technology,,,
1145,Information and Communication Technologies (ICTs),Computing,LC336,,,,,,,,7,Limerick Institute of Technology,,,
1146,Arts,Interior Design,LC340,,,,,,,,8,Limerick Institute of Technology,,,
1147,Biological and related sciences,Biotechnology and Biopharmaceutical Sciences,LC362,,,,,,,,8,Limerick Institute of Technology,,,
1148,Arts,Creative Broadcast and Film Production,LC371,,,,,,,,8,Limerick Institute of Technology,,,
1149,Arts,Music Technology and Production,LC372,,,,,,,,8,Limerick Institute of Technology,,,
1150,Engineering and engineering trades,Renewable and Electrical Energy Engineering,LC374,,,,,,,,8,Limerick Institute of Technology,,,
1151,Engineering and engineering trades,Industrial Automation and Robotic Systems,LC375,,,,,,,,8,Limerick Institute of Technology,,,
1152,Engineering and engineering trades,Electronic Engineering with Computer Systems,LC376,,,,,,,,8,Limerick Institute of Technology,,,
1153,Engineering and engineering trades,Automotive Engineering and Transport Management,LC380,,,,,,,,8,Limerick Institute of Technology,,,
1154,Personal services,Business Studies in Beauty and Spa Management,LC392,,,,,,,,8,Limerick Institute of Technology,,,
1155,Welfare,Early Childhood Education and Care,LC393,,,,,,,,8,Limerick Institute of Technology,,,
1156,Personal services,Beauty and Spa Services,LC396,,,,,,,,7,Limerick Institute of Technology,,,
1157,Business and administration,Business Studies with Sports,LC397,,,,,,,,7,Limerick Institute of Technology,,,
1158,Personal services,Culinary Arts,LC398,,,,,,,,7,Limerick Institute of Technology,,,
1159,Personal services,Hospitality Supervision,LC399,,,,,,,,7,Limerick Institute of Technology,,,
1160,Welfare,Social Care Work,LC402,,,,,,,,8,Limerick Institute of Technology,,,
1161,Environment,Environmental Science and Climate,LC408,,,,,,,,8,Limerick Institute of Technology,,,
1162,Business and administration,Business,LC415,,,,,,,,7,Limerick Institute of Technology,,,
1163,Business and administration,Business,LC416,,,,,,,,8,Limerick Institute of Technology,,,
1164,Information and Communication Technologies (ICTs),Computing - Games Design and Development,LC418,,,,,,,,8,Limerick Institute of Technology,,,
1165,Personal services,Applied Strength and Conditioning,LC422,,,,,,,,8,Limerick Institute of Technology,,,
1166,Personal services,Applied Strength and Conditioning,LC423,,,,,,,,7,Limerick Institute of Technology,,,
1167,Environment,Environmental Science,LC425,,,,,,,,7,Limerick Institute of Technology,,,
1168,Information and Communication Technologies (ICTs),Game Art and Design (portfolio),LC502,,,,,,,,8,Limerick Institute of Technology,#,,
1169,Information and Communication Technologies (ICTs),Creative Media and Design,LC504,,,,,,,,7,Limerick Institute of Technology,,,
1170,Information and Communication Technologies (ICTs),Creative Media and Design,LC517,,,,,,,,8,Limerick Institute of Technology,,,
1171,Information and Communication Technologies (ICTs),Digital Animation Production (portfolio),LC518,,,,,,,,8,Limerick Institute of Technology,#,,
1172,Welfare,Social Care Work,LC602,,,,,,,,7,Limerick Institute of Technology,,,
1173,Welfare,Social Care Work,LC612,,,,,,,,8,Limerick Institute of Technology,,,
1174,Humanities (except languages),Arts,LM002,,*,,,,,,8,University of Limerick,,,
1175,Social and behavioural sciences,Social Sciences,LM019,,,,,,,,8,University of Limerick,,,
1176,Law,Law and Accounting,LM020,,,,,,,,8,University of Limerick,,,
1177,Arts,Performing Arts (audition format TBC),LM026,,,,,,,,8,University of Limerick,#,,
1178,Law,Criminal Justice,LM028,,,,,,,,8,University of Limerick,,,
1179,Law,Law Plus,LM029,,,,,,,,8,University of Limerick,,,
1180,Social and behavioural sciences,Psychology and Sociology,LM038,,,,,,,,8,University of Limerick,,,
1181,Journalism and information,Journalism and Digital Communication,LM039,,,,,,,,8,University of Limerick,,,
1182,Humanities (except languages),European Studies,LM040,,,,,,,,8,University of Limerick,,,
1183,Languages,Applied Languages,LM044,,,,,,,,8,University of Limerick,,,
1184,Business and administration,Business Studies (options),LM050,,,,,,,,8,University of Limerick,,,
1185,Business and administration,International Business,LM056,,*,,,,*,,8,University of Limerick,,,
1186,Mathematics and statistics,Financial Mathematics,LM058,,,,,,,,8,University of Limerick,,,
1187,Information and Communication Technologies (ICTs),Technology Management,LM063,,,,,,,,8,University of Limerick,,,
1188,Environment,Environmental Science,LM066,,,,,,,,8,University of Limerick,,,
1189,Manufacturing and processing,Food Science and Health,LM068,,*,,,,*,,8,University of Limerick,,,
1190,Manufacturing and processing,Product Design and Technology (portfolio required),LM076,,,,,,,,8,University of Limerick,#,,
1191,Engineering and engineering trades,Aeronautical Engineering,LM077,,,,,,,,8,University of Limerick,,,
1192,Architecture and construction,Construction Management and Engineering,LM082,,*,,,,*,,8,University of Limerick,,,
1193,Personal services,Sport and Exercise Sciences,LM089,,*,,,,*,,8,University of Limerick,,,
1194,Education,Physical Education with concurrent Teacher Education,LM090,,,,*,,*,,8,University of Limerick,,,
1195,Education,Languages with concurrent Teacher Education,LM091,,,,,,,,8,University of Limerick,,,
1196,Education,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,,,,,,,,8,University of Limerick,,,
1197,Biological and related sciences,Equine Science,LM093,,,,,,,,8,University of Limerick,,,
1198,Education,Materials and Architectural Technology with concurrent Teacher Education,LM094,,,,,,,,8,University of Limerick,,,
1199,Education,Materials and Engineering Technology with concurrent Teacher Education,LM095,,,,,,,,8,University of Limerick,,,
1200,Education,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,,,,,,,,8,University of Limerick,,,
1201,Mathematics and statistics,Mathematics and Computer Science with concurrent Teacher Education,LM097,,,,,,,,8,University of Limerick,,,
1202,Architecture and construction,Architecture,LM099,,,,,,,,8,University of Limerick,#,,
1203,Health,Physiotherapy,LM100,,*,,,,*,,8,University of Limerick,,,
1204,Health,Medicine  - Graduate Entry (GAMSAT required),LM101,,*,,,,*,,8,University of Limerick,#,,
1205,Social and behavioural sciences,Psychology,LM102,,,,,,,,8,University of Limerick,,,
1206,Health,Paramedic Studies (Full B/Provisional C1 Drivers Licence),LM103,,,,,,,,8,University of Limerick,#,,
1207,Personal services,Exercise and Health Fitness Management,LM105,,,,,,,,8,University of Limerick,,,
1208,Physical sciences,Chemical and Biochemical Engineering,LM115,,,,,,,,8,University of Limerick,,,
1209,Engineering and engineering trades,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,,*,,,,*,,8,University of Limerick,,,
1210,Engineering and engineering trades,Electronic and Computer Engineering,LM118,,,,,,,,8,University of Limerick,,,
1211,Information and Communication Technologies (ICTs),Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,,,,,,,,8,University of Limerick,,,
1212,Information and Communication Technologies (ICTs),Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,,,,,,,,8,University of Limerick,,,
1213,Biological and related sciences,Biological and Chemical Sc. (Biosci/Envir Sci/Ind Bio/Pharma and In,LM123,,*,,,,*,,8,University of Limerick,,,
1214,Mathematics and statistics,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,,,,,,,,8,University of Limerick,,,
1215,Physical sciences,Physics (Applied Physics or Mathematics and Physics),LM125,,,,,,,,8,University of Limerick,,,
1216,Health,General Nursing,LM150,,*,,,,,,8,University of Limerick,,,
1217,Health,Mental Health Nursing,LM152,,,,,,,,8,University of Limerick,,,
1218,Health,Intellectual Disability Nursing,LM154,,,,,,,,8,University of Limerick,,,
1219,Health,Midwifery,LM156,,*,,,,*,,8,University of Limerick,,,
1220,Biological and related sciences,Equine Science,LM180,,,,,,,,6,University of Limerick,,,
1221,Interdisciplinary programmes and qualifications involving arts and humanities,Theology and Arts,MU001,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,
1222,Interdisciplinary programmes and qualifications involving arts and humanities,Theology,MU002,,,,,,,,8,"Pontifical University, St Patrick's College",,avp,
1223,Education,Education - Primary Teaching (Froebel),MH001,,,,,,,,8,Maynooth University,,,
1224,Education,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,,,,,,,8,Maynooth University,#,,
1225,Education,Early Childhood - Teaching and Learning (full-time),MH003,,,,,,,,8,Maynooth University,,,
1226,Humanities (except languages),Arts,MH101,,,,,,,,8,Maynooth University,,,
1227,Arts,Music,MH103,,,,,,,,8,Maynooth University,#,,
1228,Social and behavioural sciences,Psychology - 3 years,MH106,,,,,,,,8,Maynooth University,,,
1229,Social and behavioural sciences,Social Science,MH107,,,,,,,,8,Maynooth University,,,
1230,Arts,Media Studies,MH109,,,,,,,,8,Maynooth University,,,
1231,Welfare,Community and Youth Work (Full-Time),MH116,,,,,,,,8,Maynooth University,#,,
1232,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science,MH201,,,,,,,,8,Maynooth University,,,
1233,Biological and related sciences,Biotechnology,MH202,,,,,,,,8,Maynooth University,,,
1234,Biological and related sciences,Biological and Geographical Sciences,MH203,,,,,,,,8,Maynooth University,,,
1235,Physical sciences,Physics with Astrophysics,MH204,,,,,,,,8,Maynooth University,,,
1236,Mathematics and statistics,Theoretical Physics and Mathematics,MH206,,,,,,,,8,Maynooth University,,,
1237,Information and Communication Technologies (ICTs),Data Science,MH207,,,,,,,,8,Maynooth University,,,
1238,Biological and related sciences,Biological and Biomedical Sciences,MH208,,,,,,,,8,Maynooth University,,,
1239,Social and behavioural sciences,Psychology (through Science) - 4 years,MH209,,,,,,,,8,Maynooth University,,,
1240,Physical sciences,Pharmaceutical and Biomedical Chemistry,MH210,,,,,,,,8,Maynooth University,,,
1241,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics",Science|Maths and Computer Science|Mathematics (with Education),MH212,,,,,,,,8,Maynooth University,,,
1242,Engineering and engineering trades,Engineering (Computer/Electronic/Communications),MH304,,,,,,,,8,Maynooth University,,avp,
1243,Engineering and engineering trades,Product Design,MH305,,,,,,,,8,Maynooth University,,,
1244,Engineering and engineering trades,Robotics and Intelligent Devices,MH306,,,,,,,,8,Maynooth University,,,
1245,Business and administration,Finance (options),MH401,,,,,,,,8,Maynooth University,,,
1246,Business and administration,Quantitative Finance,MH402,,,,,,,,8,Maynooth University,,,
1247,Business and administration,Accounting and Finance,MH403,,,,,,,,8,Maynooth University,,,
1248,Business and administration,Business (options),MH404,,,,,,,,8,Maynooth University,,,
1249,Business and administration,Business and Accounting,MH407,,,,,,,,8,Maynooth University,,,
1250,Business and administration,Entrepreneurship,MH411,,,,,,,,8,Maynooth University,,,
1251,Law,LLB Law - four year Single Major Law programme,MH501,,,,,,,,8,Maynooth University,,,
1252,Law,Law (options),MH502,,,,,,,,8,Maynooth University,,,
1253,Information and Communication Technologies (ICTs),Computer Science through Arts (options),MH601,,,,,,,,8,Maynooth University,,,
1254,Information and Communication Technologies (ICTs),Computer Science through Science (options),MH602,,,,,,,,8,Maynooth University,,,
1255,Information and Communication Technologies (ICTs),Computational Thinking,MH603,,,,,,,,8,Maynooth University,,,
1256,Education,Early Childhood - Teaching and Learning (part-time),MH801,,,,,,,,8,Maynooth University,,avp,
1257,Welfare,"Community and Youth Work (part-time, in service)",MH802,,,,,,,,8,Maynooth University,#,avp,
1258,Social and behavioural sciences,"Local Studies/Community Studies (part-time, evening) - Mature Students",MH803,,,,,,,,8,Maynooth University,,avp,
1259,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,,,,,,,,8,St. Angela`s College,,,
1260,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,,,,*,,*,,8,St. Angela`s College,,,
1261,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,,*,,,,*,,8,St. Angela`s College,,,
1262,Business and administration,"Nutrition, Food and Business Management",AS051,,,,,,,,8,St. Angela`s College,,,
1263,Biological and related sciences,Home Economics,AS054,,*,,*,,,,8,St. Angela`s College,,,
1264,Health,General Nursing,AS110,,*,,,,*,,8,St. Angela`s College,,,
1265,Health,Intellectual Disability Nursing,AS130,,,,,,*,,8,St. Angela`s College,,,
1266,Business and administration,Business,SG101,,,,,,,,6,"Institute of Technology, Sligo",,avp,
1267,Information and Communication Technologies (ICTs),Computing (Level 6 - General Entry),SG102,,,,,,,,6,"Institute of Technology, Sligo",,,
1268,Information and Communication Technologies (ICTs),Computing - Games Development,SG131,,,,,,,,7,"Institute of Technology, Sligo",,,
1269,Personal services,Applied Sport with Business,SG134,,,,,,,,7,"Institute of Technology, Sligo",,,
1270,Personal services,Business in Tourism with Event Management,SG135,,,,,,,,7,"Institute of Technology, Sligo",,avp,
1271,Information and Communication Technologies (ICTs),Computing - Software Development,SG136,,,,,,,,7,"Institute of Technology, Sligo",,,
1272,Information and Communication Technologies (ICTs),Computing in Computer Networks and Cyber Security,SG137,,,,,,,,7,"Institute of Technology, Sligo",,,
1273,Information and Communication Technologies (ICTs),Computing (Level 7 - General Entry),SG138,,,,,,,,7,"Institute of Technology, Sligo",,,
1274,Business and administration,Business in Marketing,SG139,,,,,,,,7,"Institute of Technology, Sligo",,,
1275,Business and administration,Business,SG141,,,,,,,,8,"Institute of Technology, Sligo",,,
1276,Business and administration,Business and ICT,SG145,,,,,,,,8,"Institute of Technology, Sligo",,,
1277,Business and administration,Accounting,SG146,,,,,,,,8,"Institute of Technology, Sligo",,,
1278,Personal services,Sport with Business,SG147,,,,,,,,8,"Institute of Technology, Sligo",,,
1279,Personal services,Tourism with Event Management,SG148,,,,,,,,8,"Institute of Technology, Sligo",,,
1280,Business and administration,Business in Marketing,SG150,,,,,,,,8,"Institute of Technology, Sligo",,,
1281,Arts,Fine Art,SG231,,,,,,,,7,"Institute of Technology, Sligo",#,avp,
1282,Arts,Creative Design,SG232,,,,,,,,7,"Institute of Technology, Sligo",,avp,
1283,Arts,Performing Arts (Theatre Design),SG235,,,,,,,,7,"Institute of Technology, Sligo",,,
1284,Arts,Performing Arts (Acting),SG236,,,,,,,,7,"Institute of Technology, Sligo",,,
1285,Arts,Performing Arts,SG241,,,,,,,,8,"Institute of Technology, Sligo",,,
1286,Welfare,Early Childhood Care and Education,SG242,,,,,,,,8,"Institute of Technology, Sligo",,,
1287,Welfare,Social Care Practice,SG243,,,,,,,,8,"Institute of Technology, Sligo",,,
1288,Arts,Fine Art,SG244,,,,,,,,8,"Institute of Technology, Sligo",#,,
1289,Arts,Creative Design,SG245,,,,,,,,8,"Institute of Technology, Sligo",,,
1290,Information and Communication Technologies (ICTs),Computing,SG246,,,,,,,,8,"Institute of Technology, Sligo",,,
1291,Social and behavioural sciences,English and Psychology,SG247,,,,,,,,8,"Institute of Technology, Sligo",,,
1292,Social and behavioural sciences,Sociology and Politics,SG248,,,,,,,,8,"Institute of Technology, Sligo",,,
1293,Languages,Writing and Literature,SG249,,,,,,,,8,"Institute of Technology, Sligo",,,
1294,Information and Communication Technologies (ICTs),Software Development,SG252,,,,,,,,8,"Institute of Technology, Sligo",,,
1295,Information and Communication Technologies (ICTs),Computing in Computer Networks and Cyber Security,SG253,,,,,,,,8,"Institute of Technology, Sligo",,,
1296,Languages,Writing and Literature Online,SG254,,,,,,,,8,"Institute of Technology, Sligo",,,
1297,Law,Law and Business,SG255,,,,,,,,8,"Institute of Technology, Sligo",,,
1298,Engineering and engineering trades,Engineering (General Entry),SG300,,,,,,,,6,"Institute of Technology, Sligo",,avp,
1299,Architecture and construction,Construction Economics,SG302,,,,,,,,6,"Institute of Technology, Sligo",,avp,
1300,Architecture and construction,Applied Construction Technology,SG308,,,,,,,,6,"Institute of Technology, Sligo",,avp,
1301,Engineering and engineering trades,Engineering (General Entry),SG330,,,,,,,,7,"Institute of Technology, Sligo",,,
1302,Architecture and construction,Interior Architecture and Design,SG331,,,,,,,,7,"Institute of Technology, Sligo",,,
1303,Architecture and construction,Advanced Wood and Sustainable Building Technology,SG332,,,,,,,,7,"Institute of Technology, Sligo",,,
1304,Engineering and engineering trades,Mechanical Engineering,SG333,,,,,,,,7,"Institute of Technology, Sligo",,,
1305,Engineering and engineering trades,Mechatronic Engineering,SG334,,,,,,,,7,"Institute of Technology, Sligo",,,
1306,Engineering and engineering trades,"Engineering in Mechatronic Systems (Interview, Work Based)",SG335,,,,,,,,7,"Institute of Technology, Sligo",#,avp,
1307,Engineering and engineering trades,Precision Engineering and Design,SG336,,,,,,,,7,"Institute of Technology, Sligo",,,
1308,Architecture and construction,Civil Engineering,SG338,,,,,,,,7,"Institute of Technology, Sligo",,,
1309,Architecture and construction,Quantity Surveying,SG339,,,,,,,,7,"Institute of Technology, Sligo",,,
1310,Engineering and engineering trades,General Engineering,SG341,,,,,,,,8,"Institute of Technology, Sligo",,,
1311,Architecture and construction,Civil Engineering,SG342,,,,,,,,8,"Institute of Technology, Sligo",,,
1312,Architecture and construction,Quantity Surveying,SG343,,,,,,,,8,"Institute of Technology, Sligo",,,
1313,Engineering and engineering trades,Mechanical Engineering,SG344,,,,,,,,8,"Institute of Technology, Sligo",,,
1314,Architecture and construction,Construction Project Management and Applied Technology,SG346,,,,,,,,8,"Institute of Technology, Sligo",,,
1315,Architecture and construction,Architecture,SG347,,,,,,,,8,"Institute of Technology, Sligo",,,
1316,Architecture and construction,Interior Architecture and Design,SG348,,,,,,,,8,"Institute of Technology, Sligo",,,
1317,Engineering and engineering trades,Electronics and Self Driving Technologies,SG349,,,,,,,,8,"Institute of Technology, Sligo",,,
1318,Engineering and engineering trades,Robotics and Automation,SG350,,,,,,,,8,"Institute of Technology, Sligo",,,
1319,Biological and related sciences,Science,SG401,,,,,,,,6,"Institute of Technology, Sligo",,avp,
1320,Environment,Environmental Science with Ecology (Level 6),SG404,,,,,,,,6,"Institute of Technology, Sligo",,,
1321,Health,Health and Exercise Science,SG406,,,,,,,,6,"Institute of Technology, Sligo",,,
1322,Physical sciences,Pharmaceutical Science with Drug Development,SG431,,,,,,,,7,"Institute of Technology, Sligo",,,
1323,Hygiene and occupational health services,Occupational Safety and Health,SG433,,,,,,,,7,"Institute of Technology, Sligo",,,
1324,Health,Human Nutrition,SG434,,,,,,,,7,"Institute of Technology, Sligo",,,
1325,Health,Health Science and Physiology,SG435,,,,,,,,7,"Institute of Technology, Sligo",,,
1326,Health,Biomedical Science,SG436,,,,,,,,7,"Institute of Technology, Sligo",,,
1327,Biological and related sciences,Forensic Investigation and Analysis,SG437,,,,,,,,7,"Institute of Technology, Sligo",,,
1328,Environment,Environmental Science with Ecology (Level 7),SG439,,,,,,,,7,"Institute of Technology, Sligo",,,
1329,Hygiene and occupational health services,Occupational Safety and Health,SG442,,,,,,,,8,"Institute of Technology, Sligo",,,
1330,Health,Human Nutrition,SG443,,,,,,,,8,"Institute of Technology, Sligo",,,
1331,Biological and related sciences,Science Undenominated,SG444,,,,,,,,8,"Institute of Technology, Sligo",,,
1332,Physical sciences,Pharmaceutical Science with Drug Development,SG445,,,,,,,,8,"Institute of Technology, Sligo",,,
1333,Health,Health Science and Physical Activity,SG447,,,,,,,,8,"Institute of Technology, Sligo",,,
1334,Biological and related sciences,Forensic Investigation and Analysis,SG448,,,,,,,,8,"Institute of Technology, Sligo",,,
1335,Health,Medical Biotechnology,SG449,,,,,,,,8,"Institute of Technology, Sligo",,,
1336,Environment,Environmental Science with Ecology (Level 8),SG450,,,,,,,,8,"Institute of Technology, Sligo",,,
1337,Health,Health and Medical Information Science (Online),SG530,,,,,,,,7,"Institute of Technology, Sligo",,,
1338,Business and administration,Business Administration,SG535,,,,,,,,7,"Institute of Technology, Sligo",,,
1339,Business and administration,Business,SG536,,,,,,,,7,"Institute of Technology, Sligo",,,
1340,Environment,Science - Biological and Environmental Studies,TL651,,,,,,,,6,"Institute of Technology, Tralee",,,
1341,Health,Science - Pharmacy Technician,TL652,,,,,,,,6,"Institute of Technology, Tralee",,,
1342,Arts,"Animation, Visual Effects and Motion Design (Level 7, portfolio)",TL701,,,,,,,,7,"Institute of Technology, Tralee",#,,
1343,Arts,"TV, Radio and New Media (Level 7)",TL702,,,,,,,,7,"Institute of Technology, Tralee",,,
1344,Information and Communication Technologies (ICTs),Computing with Software Development,TL710,,,,,,,,7,"Institute of Technology, Tralee",,,
1345,Information and Communication Technologies (ICTs),Computing with Games Development,TL711,,,,,,,,7,"Institute of Technology, Tralee",,,
1346,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL715,,,,,,,,7,"Institute of Technology, Tralee",,,
1347,Information and Communication Technologies (ICTs),Computer Systems and Networking,TL716,,,,,,,,7,"Institute of Technology, Tralee",,,
1348,Business and administration,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,,,,,,,,7,"Institute of Technology, Tralee",,,
1349,Architecture and construction,Construction Management,TL742,,,,,,,,7,"Institute of Technology, Tralee",,,
1350,Agriculture,Agricultural Engineering,TL744,,,,,,,,7,"Institute of Technology, Tralee",,,
1351,Architecture and construction,Civil Engineering,TL745,,,,,,,,7,"Institute of Technology, Tralee",,avp,
1352,Engineering and engineering trades,Mechanical and Automation Engineering,TL747,,,,,,,,7,"Institute of Technology, Tralee",,,
1353,Biological and related sciences,Agricultural Science,TL748,,,,,,,,7,"Institute of Technology, Tralee",,,
1354,Health,Pharmaceutical Science (Degree Award options),TL755,,,,,,,,7,"Institute of Technology, Tralee",,,
1355,Veterinary,Animal Bioscience,TL758,,,,,,,,7,"Institute of Technology, Tralee",,,
1356,Personal services,Health and Leisure (Degree Award Options),TL771,,,,,,,,7,"Institute of Technology, Tralee",,,
1357,Personal services,Health and Leisure with Massage,TL772,,,,,,,,7,"Institute of Technology, Tralee",,,
1358,Personal services,Coaching and Sports Performance,TL773,,,,,,,,7,"Institute of Technology, Tralee",,,
1359,Personal services,Inclusive Sport and Physical Activity,TL774,,,,,,,,7,"Institute of Technology, Tralee",,avp,
1360,Welfare,Early Childhood Care and Education,TL780,,,,,,,,7,"Institute of Technology, Tralee",,avp,
1361,Welfare,Social Care,TL781,,,,,,,,7,"Institute of Technology, Tralee",,,
1362,Arts,"Animation, Visual Effects and Motion Design (Level 8, portfolio)",TL801,,,,,,,,8,"Institute of Technology, Tralee",#,,
1363,Arts,"TV, Radio and New Media (Level 8)",TL802,,,,,,,,8,"Institute of Technology, Tralee",,,
1364,Information and Communication Technologies (ICTs),Computing with Software Development,TL810,,,,,,,,8,"Institute of Technology, Tralee",,,
1365,Information and Communication Technologies (ICTs),Computing with Games Development,TL811,,,,,,,,8,"Institute of Technology, Tralee",,,
1366,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL815,,,,,,,,8,"Institute of Technology, Tralee",,,
1367,Personal services,Event Management (3 year programme),TL823,,,,,,,,8,"Institute of Technology, Tralee",,,
1368,Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,,,,,,,,8,"Institute of Technology, Tralee",,,
1369,Architecture and construction,Construction Management,TL842,,,,,,,,8,"Institute of Technology, Tralee",,,
1370,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,TL844,,,,,,,,8,"Institute of Technology, Tralee",,,
1371,Architecture and construction,Civil Engineering,TL845,,,,,,,,8,"Institute of Technology, Tralee",,,
1372,Manufacturing and processing,Manufacturing Engineering,TL847,,,,,,,,8,"Institute of Technology, Tralee",,,
1373,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,TL848,,,,,,,,8,"Institute of Technology, Tralee",,,
1374,Environment,Wildlife Biology (Degree Award options),TL851,,,,,,,,8,"Institute of Technology, Tralee",,,
1375,Health,Pharmaceutical Science (Degree Award options),TL855,,,,,,,,8,"Institute of Technology, Tralee",,,
1376,Veterinary,Veterinary Bioscience,TL858,,,,,,,,8,"Institute of Technology, Tralee",,,
1377,Personal services,Health and Leisure (Degree Award options),TL871,,,,,,,,8,"Institute of Technology, Tralee",,,
1378,Personal services,Health and Leisure with Massage,TL872,,,,,,,,8,"Institute of Technology, Tralee",,,
1379,Personal services,Coaching and Sports Performance,TL873,,,,,,,,8,"Institute of Technology, Tralee",,,
1380,Personal services,Inclusive Sport and Physical Activity,TL874,,,,,,,,8,"Institute of Technology, Tralee",,,
1381,Welfare,Early Childhood Care and Education,TL880,,,,,,,,8,"Institute of Technology, Tralee",,,
1382,Welfare,Social Care,TL881,,,,,,,,8,"Institute of Technology, Tralee",,,
1383,Welfare,Counselling with Addiction - Mature applicants only,TL889,,,,,,,,8,"Institute of Technology, Tralee",#,,
1384,Health,General Nursing and Mature Applicants,TL890,,,,,,,,8,"Institute of Technology, Tralee",,,
1385,Health,Mental Health Nursing and Mature Applicants,TL891,,,,,,*,,8,"Institute of Technology, Tralee",,,
1386,Information and Communication Technologies (ICTs),Applied Computing (options),WD001,,,,,,,,8,Waterford Institute of Technology,,avp,
1387,Biological and related sciences,Science (options),WD002,,,,,,,,8,Waterford Institute of Technology,,,
1388,Business and administration,Business,WD003,,,,,,,,6,Waterford Institute of Technology,,avp,
1389,Health,Health Sciences (options),WD005,,,,,,,,8,Waterford Institute of Technology,,,
1390,Personal services,Exercise Sciences (options),WD006,,,,,,,,8,Waterford Institute of Technology,,,
1391,Engineering and engineering trades,Engineering (options),WD007,,,,,,,,8,Waterford Institute of Technology,,avp,
1392,Engineering and engineering trades,Electronic Engineering,WD010,,,,,,,,6,Waterford Institute of Technology,,,
1393,Engineering and engineering trades,Mechanical Engineering,WD011,,,,,,,,6,Waterford Institute of Technology,,,
1394,Law,Legal Studies,WD013,,,,,,,,6,Waterford Institute of Technology,,avp,v
1395,Welfare,Applied Social Care,WD018,,,,,,,,7,Waterford Institute of Technology,,,
1396,Personal services,Recreation and Sport Management,WD019,,,,,,,,7,Waterford Institute of Technology,,avp,
1397,Architecture and construction,Construction Management and Engineering,WD025,,,,,,,,8,Waterford Institute of Technology,,,
1398,Arts,Music,WD027,,,,,,,,8,Waterford Institute of Technology,#,,
1399,Business and administration,Business (options),WD048,,,,,,,,8,Waterford Institute of Technology,,,
1400,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Forestry,WD076,,,,,,,,7,Waterford Institute of Technology,,,
1401,Business and administration,Accounting,WD084,,,,,,,,8,Waterford Institute of Technology,,,
1402,Personal services,Hospitality Management,WD091,,,,,,,,8,Waterford Institute of Technology,,,
1403,Architecture and construction,Architectural Technology,WD094,,,,,,,,7,Waterford Institute of Technology,,,
1404,Agriculture,Horticulture (Waterford - Kildalton),WD096,,,,,,,,7,Waterford Institute of Technology,,,
1405,Agriculture,Horticulture (Dublin - National Botanic Gardens),WD097,,,,,,,,7,Waterford Institute of Technology,,,
1406,Health,General Nursing,WD116,,,,,,,,8,Waterford Institute of Technology,,,
1407,Health,Psychiatric Nursing,WD117,,,,,,,,8,Waterford Institute of Technology,,,
1408,Health,Intellectual Disability Nursing,WD120,,,,,,,,8,Waterford Institute of Technology,,,
1409,Agriculture,Agriculture,WD126,,,,,,,,7,Waterford Institute of Technology,,,
1410,Business and administration,International Business,WD134,,,,,,,,8,Waterford Institute of Technology,,,
1411,Arts,Design (Visual Communications),WD137,,,,,,,,8,Waterford Institute of Technology,,,
1412,Law,Laws,WD140,,,,,,,,8,Waterford Institute of Technology,,,
