,CATEGORY (ISCED Description),Course Title,Course Code,R1 Points,R1 Random,R2 Points ,R2 Random,EOS Points,EOS Random,EOS Midpoints,Course Level,HEI,Test/Interview,AVP,v,hei_code
106,Engineering and engineering trades,Electronic Systems,CW558,280.0,,,,280.0,,380.0,8,"Institute of Technology, Carlow",,,,CW
107,Engineering and engineering trades,Aerospace Engineering,CW568,371.0,,359.0,,359.0,,433.0,8,"Institute of Technology, Carlow",,,,CW
108,Arts,TV and Media Production,CW578,318.0,,,,318.0,,358.0,8,"Institute of Technology, Carlow",,,,CW
109,Law,Legal Studies,CW706,174.0,,,,174.0,,357.0,6,"Institute of Technology, Carlow",,,,CW
110,Arts,Industrial Design,CW707,241.0,,,,241.0,,478.0,7,"Institute of Technology, Carlow",,,,CW
111,Law,Law - LLB,CW708,292.0,,,,292.0,,390.0,8,"Institute of Technology, Carlow",,,,CW
112,Welfare,Professional Social Care Practice,CW717,271.0,,262.0,,262.0,,360.0,7,"Institute of Technology, Carlow",,,,CW
113,Arts,Product Design Innovation,CW728,246.0,,,,246.0,,370.0,8,"Institute of Technology, Carlow",,,,CW
114,Welfare,Early Childhood Education and Care,CW748,290.0,,,,290.0,,377.0,8,"Institute of Technology, Carlow",,,,CW
115,Welfare,Professional Social Care Practice,CW758,360.0,,358.0,,358.0,,397.0,8,"Institute of Technology, Carlow",,,,CW
116,Personal services,Sport Coaching and Business Management - GAA (portfolio),CW807,700.0,,,,700.0,,700.0,7,"Institute of Technology, Carlow",#,,,CW
117,Business and administration,Media and Public Relations,CW808,247.0,,,,247.0,,316.0,8,"Institute of Technology, Carlow",,,,CW
118,Personal services,Sport Coaching and Business Management - Rugby (portfolio),CW817,700.0,,,,700.0,,700.0,7,"Institute of Technology, Carlow",#,,,CW
119,Personal services,Sport Coaching and Business Management - Soccer (portfolio),CW827,700.0,,,,700.0,,700.0,7,"Institute of Technology, Carlow",#,,,CW
120,Business and administration,Digital Marketing with Analytics,CW837,215.0,,,,215.0,,349.0,7,"Institute of Technology, Carlow",,,,CW
121,Business and administration,Digital Marketing with Analytics,CW848,269.0,,,,269.0,,336.0,8,"Institute of Technology, Carlow",,,,CW
122,Personal services,"Sports Management and Coaching (options, portfolio)",CW858,700.0,,,,700.0,,700.0,8,"Institute of Technology, Carlow",#,,,CW
123,Business and administration,Business,CW906,164.0,,,,164.0,,309.0,6,"Institute of Technology, Carlow",,,,CW
124,Business and administration,Business (options),CW908,272.0,,,,272.0,,348.0,8,"Institute of Technology, Carlow",,,,CW
125,Business and administration,Business (options),CW917,228.0,,,,228.0,,387.0,7,"Institute of Technology, Carlow",,,,CW
126,Business and administration,Business with Law,CW926,204.0,,,,204.0,,440.0,6,"Institute of Technology, Carlow",,,,CW
127,Business and administration,Accounting,CW936,207.0,,,,207.0,,442.0,6,"Institute of Technology, Carlow",,,,CW
128,Business and administration,Business with Law,CW938,270.0,,,,270.0,,382.0,8,"Institute of Technology, Carlow",,,,CW
129,Business and administration,Accounting,CW948,319.0,,,,319.0,,454.0,8,"Institute of Technology, Carlow",,,,CW
130,Humanities (except languages),Arts and Humanities,PC402,203.0,,113.0,,113.0,,418.0,7,"Carlow College, St. Patrick`s",,avp,,PC
131,Welfare,Applied Social Studies - Professional Social Care,PC404,200.0,,100.0,,100.0,,270.0,7,"Carlow College, St. Patrick`s",,avp,,PC
132,Social and behavioural sciences,"Social, Political and Community Studies",PC405,263.0,,235.0,,235.0,,298.0,8,"Carlow College, St. Patrick`s",,avp,,PC
133,Humanities (except languages),Arts and Humanities (fulfils Teaching Council requirements),PC410,262.0,,230.0,,230.0,,336.0,8,"Carlow College, St. Patrick`s",,avp,,PC
134,Humanities (except languages),English and History (fulfils Teaching Council requirements),PC411,243.0,,224.0,,224.0,,356.0,8,"Carlow College, St. Patrick`s",,avp,,PC
135,Physical sciences,Applied Physics and Instrumentation,CR001,292.0,,,,292.0,,498.0,7,Cork Institute of Technology,,,,CR
136,Biological and related sciences,Applied Biosciences,CR006,420.0,,,,420.0,,521.0,7,Cork Institute of Technology,,,,CR
137,Physical sciences,Analytical and Pharmaceutical Chemistry,CR007,272.0,,,,272.0,,531.0,7,Cork Institute of Technology,,,,CR
138,Agriculture,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,CR010,336.0,,,,336.0,,453.0,7,Cork Institute of Technology,,,,CR
139,Information and Communication Technologies (ICTs),Software Development,CR016,351.0,,,,351.0,,445.0,7,Cork Institute of Technology,,,,CR
140,Business and administration,Business (Common Entry),CR021,253.0,,,,253.0,,451.0,7,Cork Institute of Technology,,,,CR
