,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
221,Engineering and engineering trades,Electrical Engineering,CR580,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
222,Engineering and engineering trades,Electronic Engineering,CR590,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
223,Arts,Visual Communications,CR600,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
224,Welfare,Early Childhood Education and Care,CR620,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
225,Personal services,Culinary Arts,CR640,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
226,Personal services,Beverage Industry Management,CR650,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
227,Personal services,Culinary Studies,CR655,,,,,,,,6,Cork Institute of Technology,,,,,,,,,,,
228,Personal services,Hospitality Studies,CR657,,,,,,,,6,Cork Institute of Technology,,,,,,,,,,,
229,Personal services,Tourism Management,CR660,,,,,,,,8,Cork Institute of Technology,,,,,,,,,,,
230,Arts,Theatre and Drama Studies at CIT Cork School of Music,CR700,,,,,,,,8,Cork Institute of Technology,#,,,,,,,,,,
231,Engineering and engineering trades,Marine Electrotechnology at National Maritime College of Ireland,CR805,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
232,Information and Communication Technologies (ICTs),Information Technology,CR888,,,,,,,,7,Cork Institute of Technology,,,,,,,,,,,
233,Information and Communication Technologies (ICTs),Computing in Information Technology,CT110,,,,,,,,6,CCT College Dublin,,,,,,,,,,,
234,Information and Communication Technologies (ICTs),Information Technology,CT116,,,,,,,,7,CCT College Dublin,,,,,,,,,,,
