,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
962,Business and administration,Business,SG101,,,,,,,,6,"Institute of Technology, Sligo",,avp,,,,,,,,,
963,Information and Communication Technologies (ICTs),Computing (Level 6 - General Entry),SG102,,,,,,,,6,"Institute of Technology, Sligo",,,,,,,,,,,
964,Information and Communication Technologies (ICTs),Computing - Games Development,SG131,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
965,Personal services,Applied Sport with Business,SG134,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
966,Personal services,Business in Tourism with Event Management,SG135,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
967,Information and Communication Technologies (ICTs),Computing - Software Development,SG136,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
968,Information and Communication Technologies (ICTs),Computing (Computer Networks and Cloud Infrastructure),SG137,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
969,Information and Communication Technologies (ICTs),Computing (Level 7 - General Entry),SG138,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
970,Business and administration,Business,SG141,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
971,Business and administration,Business in International Marketing and Languages (French),SG142,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
972,Business and administration,Business in International Marketing and Languages (Spanish),SG144,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
973,Business and administration,Accounting,SG146,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
974,Personal services,Sport with Business,SG147,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
975,Personal services,Tourism with Event Management,SG148,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
976,Arts,Fine Art,SG231,,,,,,,,7,"Institute of Technology, Sligo",#,avp,,,,,,,,,
977,Arts,Creative Design,SG232,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
978,Arts,Performing Arts (Theatre Design),SG235,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
979,Arts,Performing Arts (Acting),SG236,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
980,Arts,Performing Arts,SG241,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
981,Welfare,Early Childhood Care and Education,SG242,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
982,Welfare,Social Care Practice,SG243,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
983,Arts,Fine Art,SG244,,,,,,,,8,"Institute of Technology, Sligo",#,,,,,,,,,,
984,Arts,Creative Design,SG245,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
985,Information and Communication Technologies (ICTs),Computing,SG246,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
986,Social and behavioural sciences,English and Psychology,SG247,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
987,Social and behavioural sciences,Sociology and Politics,SG248,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
988,Languages,Writing and Literature,SG249,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
989,Information and Communication Technologies (ICTs),Application Design and User Experience,SG250,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
990,Information and Communication Technologies (ICTs),Computing (Smart Technologies),SG251,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
991,Information and Communication Technologies (ICTs),Software Development,SG252,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
992,Information and Communication Technologies (ICTs),Computer Networks and Cloud Infrastructure,SG253,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
993,Languages,Writing and Literature Online,SG254,,,,,,,,8,"Institute of Technology, Sligo",,avp,,,,,,,,,
994,Engineering and engineering trades,Engineering (General Entry),SG300,,,,,,,,6,"Institute of Technology, Sligo",,,,,,,,,,,
995,Architecture and construction,Construction Economics,SG302,,,,,,,,6,"Institute of Technology, Sligo",,,,,,,,,,,
996,Architecture and construction,Applied Construction Technology,SG308,,,,,,,,6,"Institute of Technology, Sligo",,,,,,,,,,,
997,Engineering and engineering trades,Engineering (General Entry),SG330,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
998,Architecture and construction,Interior Architecture and Design,SG331,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
999,Architecture and construction,Advanced Wood and Sustainable Building Technology,SG332,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1000,Engineering and engineering trades,Mechanical Engineering,SG333,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1001,Engineering and engineering trades,Mechatronic Engineering,SG334,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1002,Engineering and engineering trades,Precision Engineering and Design,SG336,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1003,Architecture and construction,Civil Engineering,SG338,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1004,Architecture and construction,Quantity Surveying,SG339,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1005,Architecture and construction,Civil Engineering,SG342,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1006,Architecture and construction,Quantity Surveying,SG343,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1007,Architecture and construction,Construction Project Management and Applied Technology,SG346,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1008,Architecture and construction,Architecture,SG347,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1009,Architecture and construction,Interior Architecture and Design,SG348,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1010,Biological and related sciences,Science,SG401,,,,,,,,6,"Institute of Technology, Sligo",,avp,,,,,,,,,
1011,Environment,Environmental Science with Ecology (Level 6),SG404,,,,,,,,6,"Institute of Technology, Sligo",,avp,v,,,,,,,,
1012,Health,Health and Exercise Science,SG406,,,,,,,,6,"Institute of Technology, Sligo",,,,,,,,,,,
1013,Physical sciences,Pharmaceutical Science with Drug Development,SG431,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1014,Hygiene and occupational health services,Occupational Safety and Health,SG433,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1015,Health,Human Nutrition,SG434,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1016,Health,Health Science and Physiology,SG435,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1017,Health,Biomedical Science,SG436,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1018,Biological and related sciences,Forensic Investigation and Analysis,SG437,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1019,Environment,Environmental Science with Ecology (Level 7),SG439,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1020,Hygiene and occupational health services,Occupational Safety and Health,SG442,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1021,Health,Human Nutrition,SG443,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1022,Biological and related sciences,Science Undenominated,SG444,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1023,Physical sciences,Pharmaceutical Science with Drug Development,SG445,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1024,Health,Health Science and Physical Activity,SG447,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1025,Biological and related sciences,Forensic Investigation and Analysis,SG448,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1026,Health,Medical Biotechnology,SG449,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1027,Environment,Environmental Science with Ecology (Level 8),SG450,,,,,,,,8,"Institute of Technology, Sligo",,,,,,,,,,,
1028,Health,Health and Medical Information Science (Online),SG530,,,,,,,,7,"Institute of Technology, Sligo",,avp,,,,,,,,,
1029,Business and administration,Business Administration,SG535,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1030,Business and administration,Business,SG536,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1031,Business and administration,Marketing and Sales,SG537,,,,,,,,7,"Institute of Technology, Sligo",,,,,,,,,,,
1032,Personal services,Culinary Arts,TL620,,,,,,,,6,"Institute of Technology, Tralee",,avp,,,,,,,,,
1033,Environment,Science (Biological and Environmental Studies),TL651,,,,,,,,6,"Institute of Technology, Tralee",,avp,v,,,,,,,,
1034,Health,Pharmacy Technician,TL652,,,,,,,,6,"Institute of Technology, Tralee",,,,,,,,,,,
1035,Arts,"Animation, Visual Effects and Motion Design (Level 7)",TL701,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1036,Arts,"TV, Radio and New Media (Level 7)",TL702,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1037,Information and Communication Technologies (ICTs),Computing with Software Development,TL710,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1038,Information and Communication Technologies (ICTs),Computing with Games Development,TL711,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1039,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL715,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1040,Information and Communication Technologies (ICTs),Computer Systems and Networking,TL716,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1041,Business and administration,Business (Major Specialism in: Acctng or Mktg or Mgmnt),TL731,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1042,Agriculture,Agricultural Mechanisation,TL743,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1043,Agriculture,Agricultural Engineering,TL744,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1044,Architecture and construction,Civil and Environmental Engineering,TL745,,,,,,,,7,"Institute of Technology, Tralee",,avp,,,,,,,,,
1045,Engineering and engineering trades,Engineering in Mechanical and Manufacturing Engineering,TL747,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1046,Biological and related sciences,Agricultural Science,TL748,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1047,Health,Pharmaceutical Science (Degree Award options),TL755,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1048,Veterinary,Animal Bioscience,TL758,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1049,Personal services,Health and Leisure (Degree Award Options),TL771,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1050,Personal services,Health and Leisure with Massage,TL772,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1051,Personal services,Coaching and Sports Performance,TL773,,,,,,,,7,"Institute of Technology, Tralee",,avp,,,,,,,,,
1052,Welfare,Early Childhood Care and Education,TL780,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1053,Welfare,Social Care,TL781,,,,,,,,7,"Institute of Technology, Tralee",,,,,,,,,,,
1054,Arts,"Animation, Visual Effects and Motion Design (Level 8)",TL801,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1055,Arts,"TV, Radio and New Media (Level 8)",TL802,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1056,Information and Communication Technologies (ICTs),Computing with Software Development,TL810,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1057,Information and Communication Technologies (ICTs),Computing with Games Development,TL811,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1058,Information and Communication Technologies (ICTs),Computing (Degree Award options),TL815,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1059,Personal services,Event Management (3 year programme),TL823,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1060,Business and administration,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),TL831,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1061,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Engineering,TL844,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1062,Architecture and construction,Civil Engineering,TL845,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1063,Manufacturing and processing,Manufacturing Engineering,TL847,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1064,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agricultural Science,TL848,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1065,Environment,Wildlife Biology (Degree Award options),TL851,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1066,Health,Pharmaceutical Science (Degree Award options),TL855,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1067,Veterinary,Veterinary Bioscience,TL858,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1068,Personal services,Health and Leisure (Degree Award options),TL871,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1069,Personal services,Health and Leisure with Massage,TL872,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1070,Personal services,Coaching and Sports Performance,TL873,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1071,Welfare,Early Childhood Care and Education,TL880,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1072,Welfare,Social Care,TL881,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1073,Welfare,Counselling with Addiction - Mature applicants only,TL889,,,,,,,,8,"Institute of Technology, Tralee",#,,,,,,,,,,
1074,Health,General Nursing and Mature Applicants,TL890,,*,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1075,Health,Mental Health Nursing and Mature Applicants,TL891,,,,,,,,8,"Institute of Technology, Tralee",,,,,,,,,,,
1076,Arts,Music,TR002,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1077,Humanities (except languages),History,TR003,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1078,Law,Law,TR004,,,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1079,Humanities (except languages),Philosophy,TR005,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1080,Social and behavioural sciences,Psychology,TR006,,,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1081,Health,Clinical Speech and Language Studies,TR007,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1082,Education,Music Education,TR009,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1083,Humanities (except languages),History and Political Science,TR012,,,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1084,Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology",TR015,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1085,Languages,Deaf Studies,TR016,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1086,Law,Law and Business,TR017,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1087,Law,Law and French,TR018,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1088,Law,Law and German,TR019,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1089,Law,Law and Political Science,TR020,,,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1090,Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1091,Languages,Early and Modern Irish,TR022,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1092,Languages,English Studies,TR023,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1093,Humanities (except languages),European Studies,TR024,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1094,Arts,Drama and Theatre Studies,TR025,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1095,Humanities (except languages),Ancient and Medieval History and Culture,TR028,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1096,Social and behavioural sciences,Political Science and Geography,TR029,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1097,Mathematics and statistics,Mathematics,TR031,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1098,Engineering and engineering trades,Engineering,TR032,,,,*,,,,8,Trinity College Dublin,,,,,,,,,,,
1099,Information and Communication Technologies (ICTs),Computer Science,TR033,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1100,Business and administration,Management Science and Information Systems Studies,TR034,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1101,Physical sciences,Theoretical Physics,TR035,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1102,Engineering and engineering trades,Engineering with Management,TR038,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1103,Information and Communication Technologies (ICTs),Computer Science and Language,TR039,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1104,Languages,Middle Eastern and European Languages and Cultures,TR040,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1105,Humanities (except languages),Religion,TR041,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1106,Arts,Film,TR042,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1107,Humanities (except languages),History of Art and Architecture,TR043,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1108,Health,Medicine (HPAT required),TR051,,*,,*,,,,8,Trinity College Dublin,#,,,,,,,,,,
1109,Health,Dental Science,TR052,,*,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1110,Health,Physiotherapy,TR053,,*,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1111,Health,Occupational Therapy,TR054,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1112,Health,Radiation Therapy,TR055,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1113,Health,Human Health and Disease,TR056,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1114,Biological and related sciences,Biological and Biomedical Sciences,TR060,,*,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1115,Physical sciences,Chemical Sciences,TR061,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1116,Physical sciences,Geography and Geoscience,TR062,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1117,Physical sciences,Physical Sciences,TR063,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1118,Health,Pharmacy,TR072,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1119,Business and administration,Global Business,TR080,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1120,Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,,*,,*,,*,,8,Trinity College Dublin,,,,,,,,,,,
1121,Business and administration,Computer Science and Business,TR082,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1122,Social and behavioural sciences,Sociology and Social Policy,TR083,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1123,Welfare,Social Studies (Social Work),TR084,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1124,Business and administration,Business Studies and French,TR085,,,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1125,Business and administration,Business Studies and German,TR086,,,,*,,,,8,Trinity College Dublin,,,,,,,,,,,
1126,Business and administration,Business Studies and Russian,TR087,,,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1127,Business and administration,Business Studies and Polish,TR089,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1128,Business and administration,Business Studies and Spanish,TR090,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1129,Health,General Nursing (Meath and St James`s),TR091,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1130,Health,General Nursing (Adelaide School of Nursing),TR093,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1131,Health,Mental Health Nursing,TR095,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1132,Health,Intellectual Disability Nursing,TR097,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1133,Arts,Ancient History and Archaeology/Geography,TR111,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1134,Arts,Ancient History and Archaeology/History,TR112,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1135,Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1136,Arts,Ancient History and Archaeology/Modern Language,TR114,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1137,Arts,Ancient History and Archaeology/Religion,TR117,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1138,Arts,Classical Civilisation/English Literature,TR166,,*,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1139,Arts,Classical Civilisation/History of Art and Architecture,TR173,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1140,Arts,Classical Civilisation/Modern Language,TR177,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1141,Arts,Classical Civilisation/Philosophy,TR179,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1142,Arts,Economics/Geography,TR198,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1143,Arts,Economics/History,TR202,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1144,Arts,Economics/Mathematics,TR207,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1145,Arts,Economics/Modern Language,TR208,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1146,Arts,Economics/Philosophy,TR209,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1147,Arts,Economics/Sociology,TR212,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1148,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,TR228,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1149,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1150,Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1151,Arts,Classical Languages/Modern Language,TR239,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1152,Arts,English Literature/History,TR262,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1153,Arts,English Literature/History of Art and Architecture,TR263,,*,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1154,Arts,English Literature/Philosophy,TR269,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1155,Arts,English Literature/Sociology,TR272,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1156,Arts,English Literature/Drama Studies,TR276,498.0,,,,476.0,,,8,Trinity College Dublin,#,,,,,,,,,,
1157,Arts,English Literature/Modern Language,TR277,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1158,Arts,Film/Drama Studies,TR311,521.0,*,,,521.0,*,,8,Trinity College Dublin,#,,,,,,,,,,
1159,Arts,Film/English Literature,TR312,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1160,Arts,Film/Music,TR320,,*,,,,*,,8,Trinity College Dublin,#,,,,,,,,,,
1161,Arts,Geography/History,TR322,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1162,Arts,Drama Studies/Modern Language,TR323,473.0,,,,473.0,,,8,Trinity College Dublin,#,,,,,,,,,,
1163,Arts,Film/Modern Language,TR324,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1164,Arts,Film/History,TR325,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1165,Arts,Geography/Modern Language,TR326,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1166,Arts,Geography/Sociology,TR332,,*,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1167,Arts,History/History of Art and Architecture,TR443,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1168,Arts,History/Modern Language,TR447,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1169,Arts,History/Philosophy,TR449,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1170,Arts,History/Sociology,TR452,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1171,Arts,History/Religion,TR454,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1172,Arts,History of Art and Architecture/Modern Language,TR455,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1173,Arts,History of Art and Architecture/Philosophy,TR479,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1174,Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1175,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1176,Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1177,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1178,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1179,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1180,Arts,Mathematics/Modern Language,TR597,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1181,Arts,Mathematics/Music,TR598,,*,,,,*,,8,Trinity College Dublin,#,,,,,,,,,,
1182,Arts,Mathematics/Philosophy,TR599,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1183,Arts,Music/Philosophy,TR629,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1184,Arts,Music/Drama Studies,TR635,473.0,,,,473.0,,,8,Trinity College Dublin,#,,,,,,,,,,
1185,Arts,Music/Modern Language,TR636,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1186,Arts,Music/Religion,TR638,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1187,Arts,Philosophy/Modern Language,TR639,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1188,Arts,Philosophy/Sociology,TR662,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1189,Arts,Religion/Classical Civilisation,TR663,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1190,Arts,Religion/English Literature,TR664,,*,,,,*,,8,Trinity College Dublin,,,,,,,,,,,
1191,Arts,Religion/History of Art and Architecture,TR665,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1192,Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1193,Arts,French/Modern Language,TR667,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1194,Arts,German/Modern Language,TR668,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1195,Arts,Irish/Modern Language,TR669,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1196,Arts,Italian/Modern Language,TR670,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1197,Arts,Russian/Modern Language,TR671,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1198,Arts,Spanish/Modern Language,TR672,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1199,Arts,Sociology/Drama Studies,TR755,498.0,,,,498.0,,,8,Trinity College Dublin,#,,,,,,,,,,
1200,Arts,Sociology/Modern Language,TR756,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1201,Health,Dental Nursing,TR801,,,,,,,,7,Trinity College Dublin,,,,,,,,,,,
1202,Health,Dental Hygiene,TR802,543.0,,511.0,,498.0,,,7,Trinity College Dublin,#,,,,,,,,,,
